case_folding,tokenizing
itu yang bilang anies modal kata doang tapi pacarannya di eco park tebet musuhin aja,"['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacarannya', 'di', 'eco', 'park', 'tebet', 'musuhin', 'aja']"
imanlagi tapi sayangnya kebanyakan msh pendukung anies yg dateng mas  baru yg di lampung kemaren berani bgt tapi ya mereka juga kayaknya bisa dibilang takut sih kalo hadepan lgsg buat desak anies wkwk,"['imanlagi', 'tapi', 'sayangnya', 'kebanyakan', 'msh', 'pendukung', 'anies', 'yg', 'dateng', 'mas', 'baru', 'yg', 'di', 'lampung', 'kemaren', 'berani', 'bgt', 'tapi', 'ya', 'mereka', 'juga', 'kayaknya', 'bisa', 'dibilang', 'takut', 'sih', 'kalo', 'hadepan', 'lgsg', 'buat', 'desak', 'anies', 'wkwk']"
nur jansen jsp  pdemokrat anies dan pks,"['nur', 'jansen', 'jsp', 'pdemokrat', 'anies', 'dan', 'pks']"
gerindra bantah soal anies bilang prabowo bisnisnya macet gegara jadi oposisi,"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnisnya', 'macet', 'gegara', 'jadi', 'oposisi']"
dhemit is back anies ikut dalam menguburkan harun tahun ada beritanya itu  apakah masih dikatakan hoax padahal beliau ikut dalam penguburannya,"['dhemit', 'is', 'back', 'anies', 'ikut', 'dalam', 'menguburkan', 'harun', 'tahun', 'ada', 'beritanya', 'itu', 'apakah', 'masih', 'dikatakan', 'hoax', 'padahal', 'beliau', 'ikut', 'dalam', 'penguburannya']"
anies baswedan menjawab pertanyaan debat dengan bukti nyata kinerja yang sangat memuaskan,"['anies', 'baswedan', 'menjawab', 'pertanyaan', 'debat', 'dengan', 'bukti', 'nyata', 'kinerja', 'yang', 'sangat', 'memuaskan']"
kangmaspri  tobenaccro anies tuh cerdas  terutama soal janji transportasi  jaklingko  dan mau rekrut pak iganisus pula  pemilih dia sudah banyak tadi nya  kurang bijak aja kenapa harus bawa ulama  gimana kalo pendeta pastor pemimpin agama lain juga di pertimbangkan opini nya  kenapa hanya cuman ulama,"['kangmaspri', 'tobenaccro', 'anies', 'tuh', 'cerdas', 'terutama', 'soal', 'janji', 'transportasi', 'jaklingko', 'dan', 'mau', 'rekrut', 'pak', 'iganisus', 'pula', 'pemilih', 'dia', 'sudah', 'banyak', 'tadi', 'nya', 'kurang', 'bijak', 'aja', 'kenapa', 'harus', 'bawa', 'ulama', 'gimana', 'kalo', 'pendeta', 'pastor', 'pemimpin', 'agama', 'lain', 'juga', 'di', 'pertimbangkan', 'opini', 'nya', 'kenapa', 'hanya', 'cuman', 'ulama']"
dahnilanzar karakter wowo vs anies jauhlah lah bang mbok legowo aja  anies dapat simpati publik meluas sedang wowo sebaliknya sesederhana itu dipahaminya jgn sampai kita jd parasocial relationship disorder,"['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauhlah', 'lah', 'bang', 'mbok', 'legowo', 'aja', 'anies', 'dapat', 'simpati', 'publik', 'meluas', 'sedang', 'wowo', 'sebaliknya', 'sesederhana', 'itu', 'dipahaminya', 'jgn', 'sampai', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']"
savicali kalau kita ga bisa kerja di bidang nya tapi jago nyindir orang lain  anies,"['savicali', 'kalau', 'kita', 'ga', 'bisa', 'kerja', 'di', 'bidang', 'nya', 'tapi', 'jago', 'nyindir', 'orang', 'lain', 'anies']"
andre rosiade paragraf satu udah dijelasin sama pa anies sendiri  tonton geh videonya  biar paham konteks  ape  ditelen mentah paragraf kedua  itu namanya pamrih  katanya paling ikhlas  ko diungkit lagi  ko nyapres lagi paragraf ketiga  etika katanya bro awokwokwok mending ngaca dulu dah,"['andre', 'rosiade', 'paragraf', 'satu', 'udah', 'dijelasin', 'sama', 'pa', 'anies', 'sendiri', 'tonton', 'geh', 'videonya', 'biar', 'paham', 'konteks', 'ape', 'ditelen', 'mentah', 'paragraf', 'kedua', 'itu', 'namanya', 'pamrih', 'katanya', 'paling', 'ikhlas', 'ko', 'diungkit', 'lagi', 'ko', 'nyapres', 'lagi', 'paragraf', 'ketiga', 'etika', 'katanya', 'bro', 'awokwokwok', 'mending', 'ngaca', 'dulu', 'dah']"
tidak bicara sesuai fakta  anies dengan lantang sebut lampung tidak mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
