formalization,stopword_removal
"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'jadi', 'oposisi']",gerindra bantah anies bilang prabowo bisnis macet gegara oposisi
"['dhemit', 'is', 'kembali', 'anies', 'ikut', 'dalam', 'kubur', 'harun', 'tahun', 'ada', 'berita', 'itu', 'apakah', 'masih', 'kata', 'isu bohong', 'padahal', 'beliau', 'ikut', 'dalam', 'kubur']",dhemit is anies kubur harun berita isu bohong beliau kubur
"['anies', 'baswedan', 'jawab', 'tanya', 'debat', 'dengan', 'bukti', 'nyata', 'kerja', 'yang', 'sangat', 'muas']",anies baswedan debat bukti nyata kerja muas
"['kangmaspri', 'tobenaccro', 'anies', 'tuh', 'cerdas', 'utama', 'soal', 'janji', 'transportasi', 'jaklingko', 'dan', 'mau', 'rekrut', 'pak', 'iganisus', 'pula', 'pilih', 'dia', 'sudah', 'banyak', 'tadi', 'nya', 'kurang', 'bijak', 'saja', 'kenapa', 'harus', 'bawa', 'ulama', 'bagaimana', 'kalau', 'pendeta', 'pastor', 'pimpin', 'agama', 'lain', 'juga', 'di', 'timbang', 'opini', 'nya', 'kenapa', 'hanya', 'cuman', 'ulama']",kangmaspri tobenaccro anies tuh cerdas utama janji transportasi jaklingko rekrut iganisus pilih nya bijak bawa ulama pendeta pastor pimpin agama timbang opini nya cuman ulama
"['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauh', 'lah', 'bang', 'mbok', 'legowo', 'saja', 'anies', 'dapat', 'simpati', 'publik', 'luas', 'sedang', 'wowo', 'balik', 'sederhana', 'itu', 'paham', 'jangan', 'sampai', 'kita', 'jadi', 'parasocial', 'relationship', 'disorder']",dahnilanzar karakter wowo vs anies bang mbok legowo anies simpati publik luas wowo sederhana paham parasocial relationship disorder
"['savicali', 'kalau', 'kita', 'tidak_bisa', 'kerja', 'di', 'bidang', 'nya', 'tapi', 'jago', 'nyindir', 'orang', 'lain', 'anies']",savicali tidak bisa kerja bidang nya jago nyindir orang anies
"['andre', 'rosiade', 'paragraf', 'satu', 'sudah', 'dijelasin', 'sama', 'pembimbing akademik', 'anies', 'sendiri', 'tonton', 'geh', 'video', 'biar', 'paham', 'konteks', 'apa', 'ditelen', 'mentah', 'paragraf', 'dua', 'itu', 'nama', 'pamrih', 'kata', 'paling', 'ikhlas', 'ko', 'ungkit', 'lagi', 'ko', 'nyapres', 'lagi', 'paragraf', 'tiga', 'etika', 'kata', 'saudara laki laki', 'awokwokwok', 'lebih baik', 'ngaca', 'dulu', 'sudah']",andre rosiade paragraf dijelasin pembimbing akademik anies tonton geh video biar paham konteks ditelen mentah paragraf nama pamrih ikhlas ko ungkit ko nyapres paragraf etika saudara laki laki awokwokwok lebih baik ngaca
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih
"['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih
"['aldapstsr', 'oh', 'itu', 'anak', 'anies', 'emang', 'cantik', 'banget', 'senyum', 'apalagi']",aldapstsr oh anak anies emang cantik banget senyum
