full_text,cleansing
Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi  https://t.co/eCtiuAJFsg,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi
"@dhemit_is_back Anies ikut dalam menguburkan Harun tahun 2019, ada beritanya itu. Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya.",dhemit is back Anies ikut dalam menguburkan Harun tahun ada beritanya itu  Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya
Anies Baswedan menjawab pertanyaan debat dengan bukti nyata kinerja yang sangat memuaskan.,Anies Baswedan menjawab pertanyaan debat dengan bukti nyata kinerja yang sangat memuaskan
"@kangmaspri @tobenaccro Anies tuh cerdas, terutama soal janji transportasi, jaklingko, dan mau rekrut pak iganisus pula. pemilih dia sudah banyak tadi nya, kurang bijak aja kenapa harus bawa² ulama, Gimana kalo pendeta/pastor/pemimpin agama lain juga di pertimbangkan opini nya? kenapa hanya cuman ulama",kangmaspri  tobenaccro Anies tuh cerdas  terutama soal janji transportasi  jaklingko  dan mau rekrut pak iganisus pula  pemilih dia sudah banyak tadi nya  kurang bijak aja kenapa harus bawa ulama  Gimana kalo pendeta pastor pemimpin agama lain juga di pertimbangkan opini nya  kenapa hanya cuman ulama
"@Dahnilanzar karakter wowo vs anies jauhlah lah bang....mbok legowo aja..Anies dapat simpati publik meluas sedang wowo sebaliknya.....sesederhana itu dipahaminya....jgn sampai kita jd parasocial relationship disorder""""",Dahnilanzar karakter wowo vs anies jauhlah lah bang mbok legowo aja  Anies dapat simpati publik meluas sedang wowo sebaliknya sesederhana itu dipahaminya jgn sampai kita jd parasocial relationship disorder
"@savicali Kalau kita = ga bisa kerja di bidang nya tapi jago nyindir orang lain, anies?",savicali Kalau kita ga bisa kerja di bidang nya tapi jago nyindir orang lain  anies
"@andre_rosiade Paragraf satu udah dijelasin sama Pa Anies sendiri. Tonton geh videonya. Biar paham konteks. Ape2 ditelen mentah2.  Paragraf kedua, itu namanya pamrih. Katanya paling ikhlas? Ko diungkit lagi? Ko nyapres lagi?  Paragraf ketiga, etika katanya bro awokwokwok mending ngaca dulu dah",andre rosiade Paragraf satu udah dijelasin sama Pa Anies sendiri  Tonton geh videonya  Biar paham konteks  Ape  ditelen mentah Paragraf kedua  itu namanya pamrih  Katanya paling ikhlas  Ko diungkit lagi  Ko nyapres lagi Paragraf ketiga  etika katanya bro awokwokwok mending ngaca dulu dah
Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/IzWK82Tb4u,Tidak Bicara Sesuai Fakta  Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/ZHEpLQ7F2a",Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"@aldapstsr Oh itu anaknya Anies, emang cantik banget. Senyumnya apalagi",aldapstsr Oh itu anaknya Anies  emang cantik banget  Senyumnya apalagi
