formalization,stopword_removal
"['mahfud', 'md', 'harap', 'kami', 'agar', 'semangat', 'sama', 'bisa', 'wujud', 'dalam', 'pimpin', 'sama', 'ganjar', 'pranowo', 'kimchiisfood', 'gp', 'presiden']",mahfud md harap semangat wujud pimpin ganjar pranowo kimchiisfood gp presiden
"['jakarta', 'percaya', 'ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'bisa', 'bawa', 'ubah', 'yang', 'ingin', 'rakyat', 'alecc', 'gp', 'presiden']",jakarta percaya ganjar pranowo pimpin bawa ubah rakyat alecc gp presiden
"['moga', 'pimpin', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'bawa', 'indonesia', 'tuju', 'maju', 'dan', 'sejahtera', 'yang', 'lebih', 'baik', 'taslicaliyahyah', 'gp', 'presiden']",moga pimpin mas ganjar pranowo mahfud md bawa indonesia tuju maju sejahtera taslicaliyahyah gp presiden
"['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'jalan', 'politik', 'mereka', 'bawa', 'berkah', 'untuk', 'rakyat', 'jawa', 'timur', 'lluvmazelf', 'gp', 'presiden']",dukung penuh mas ganjar pranowo mahfud md moga jalan politik bawa berkah rakyat jawa timur lluvmazelf gp presiden
"['dewasa', 'dalam', 'pimpin', 'keluarga', 'oleh', 'ganjar', 'pranowo', 'jadi', 'contoh', 'untuk', 'pimpin', 'dengan', 'bijaksana', 'di', 'tingkat', 'nasional', 'sabrinakxmal', 'gp', 'presiden']",dewasa pimpin keluarga ganjar pranowo contoh pimpin bijaksana tingkat nasional sabrinakxmal gp presiden
"['ganjarpranowo', 'alamganjar', 'selamat', 'ulang', 'tahun', 'alam', 'ganjar', 'moga', 'hari', 'ini', 'penuh', 'bahagia', 'dan', 'canda', 'tawa']",ganjarpranowo alamganjar selamat ulang alam ganjar moga penuh bahagia canda tawa
"['dukung', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'tidak_hanya', 'asal', 'dari', 'yakin', 'politik', 'tetapi', 'juga', 'dari', 'hangat', 'dan', 'akrab', 'keluarga', 'mereka', 'si', 'puk', 'gp', 'presiden']",dukung mas ganjar pranowo mahfud md tidak hanya politik hangat akrab keluarga si puk gp presiden
"['denismalhotra', 'dan', 'semua', 'orang', 'tahu', 'kalau', 'ibu', 'banteng', 'kirim', 'wakil', 'dik', 'gibran', 'dan', 'ganjar']",denismalhotra orang banteng kirim wakil dik gibran ganjar
"['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'sama', 'adalah', 'kunci', 'utama', 'hasil', 'shafiraamallia', 'gp', 'presiden']",akrab keluarga ganjar pranowo bukti kunci utama hasil shafiraamallia gp presiden
"['inspiratif', 'lihat', 'bagaimana', 'mas', 'ganjar', 'pranowo', 'jaga', 'imbang', 'antara', 'karier', 'politik', 'dan', 'harmonis', 'keluarga', 'strawberyy', 'gp', 'presiden']",inspiratif lihat mas ganjar pranowo jaga imbang karier politik harmonis keluarga strawberyy gp presiden
"['sama', 'keluarga', 'mas', 'ganjar', 'adalah', 'alat', 'yang', 'ampuh', 'untuk', 'bangun', 'hubung', 'saling', 'percaya', 'antara', 'perintah', 'dan', 'rakyat', 'jakarta', 'bigboyme', 'gp', 'presiden']",keluarga mas ganjar alat ampuh bangun hubung percaya perintah rakyat jakarta bigboyme gp presiden
"['video', 'mesra', 'keluarga', 'ganjar', 'pranowo', 'buat', 'saya', 'makin', 'yakin', 'bahwa', 'dia', 'adalah', 'pimpin', 'yang', 'penuh', 'kasih', 'dan', 'perhati', 'tianalisaa', 'gp', 'presiden']",video mesra keluarga ganjar pranowo pimpin penuh kasih perhati tianalisaa gp presiden
"['urrangawak', 'arsjadrasjid', 'antoniuscdn', 'seruanhl', 'koteka', 'anak', 'ogi', 'gus', 'raharjo', 'miduk', 'katanadia', 'mikuroq', 'semangat', 'terus', 'pak', 'ganjar', 'mahfud', 'moga', 'menang', 'iya', 'pak', 'ganjarpranowo']",urrangawak arsjadrasjid antoniuscdn seruanhl koteka anak ogi gus raharjo miduk katanadia mikuroq semangat ganjar mahfud moga menang iya ganjarpranowo
"['pak', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'adalah', 'kombinasi', 'yang', 'pas', 'untuk', 'pimpin', 'jakarta', 'dua', 'milik', 'komitmen', 'yang', 'kuat', 'hadap', 'penting', 'rakyat', 'berdesem', 'gp', 'presiden']",ganjar mahfud md kombinasi pas pimpin jakarta milik komitmen kuat hadap rakyat berdesem gp presiden
"['dukung', 'penuh', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'moga', 'sama', 'keluarga', 'jadi', 'landas', 'utama', 'pimpin', 'mereka', 'tjapkoentji', 'gp', 'presiden']",dukung penuh mas ganjar mahfud md moga keluarga landas utama pimpin tjapkoentji gp presiden
"['keluarga', 'adalah', 'fondasi', 'dari', 'buah', 'negara', 'yang', 'kuat', 'mesra', 'mas', 'ganjar', 'dengan', 'keluarga', 'cermin', 'pimpin', 'yang', 'humanis', 'dan', 'peduli', 'tanderkiting', 'gp', 'presiden']",keluarga fondasi buah negara kuat mesra mas ganjar keluarga cermin pimpin humanis peduli tanderkiting gp presiden
"['hasil', 'mas', 'ganjar', 'dalam', 'bangun', 'harmonis', 'keluarga', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'bijaksana', 'dan', 'tanggung', 'jawab', 'terrificsuite', 'gp', 'presiden']",hasil mas ganjar bangun harmonis keluarga cermin pimpin bijaksana tanggung terrificsuite gp presiden
"['hasil', 'ganjar', 'dalam', 'bangun', 'keluarga', 'yang', 'harmonis', 'adalah', 'modal', 'besar', 'untuk', 'bangun', 'bangsa', 'urpreshes', 'gp', 'presiden']",hasil ganjar bangun keluarga harmonis modal bangun bangsa urpreshes gp presiden
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'mari', 'sama', 'sama', 'bangun', 'jakarta', 'yang', 'lebih', 'ramah', 'keluarga', 'dipinsideurmind', 'gp', 'presiden']",ganjar pranowo mahfud md mari bangun jakarta ramah keluarga dipinsideurmind gp presiden
"['semangat', 'sama', 'keluarga', 'mas', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'bahagia', 'pribadi', 'dapat', 'jadi', 'sumber', 'kuat', 'dalam', 'laksana', 'tugas', 'publik', 'vincentmarteen', 'gp', 'presiden']",semangat keluarga mas ganjar pranowo bukti bahagia pribadi sumber kuat laksana tugas publik vincentmarteen gp presiden
"['selamat', 'kepada', 'ganjar', 'pranowo', 'yang', 'harap', 'bawa', 'angin', 'segar', 'bagi', 'maju', 'jakarta', 'blebekbek', 'gp', 'presiden']",selamat ganjar pranowo harap bawa angin segar maju jakarta blebekbek gp presiden
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'satu', 'demi', 'penting', 'rakyat', 'dan', 'maju', 'bangsa', 'beifongishere', 'gp', 'presiden']",ganjar pranowo mahfud md tokoh rakyat maju bangsa beifongishere gp presiden
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'tokoh', 'yang', 'bawa', 'energi', 'positif', 'dan', 'hangat', 'baik', 'di', 'keluarga', 'maupun', 'dalam', 'perintah', 'awmiawmiaw', 'gp', 'presiden']",ganjar pranowo mahfud md tokoh bawa energi positif hangat keluarga perintah awmiawmiaw gp presiden
"['bangga', 'milik', 'pimpin', 'seperti', 'mas', 'ganjar', 'pranowo', 'yang', 'tidak_hanya', 'kualitas', 'di', 'bidang', 'politik', 'tapi', 'juga', 'di', 'dalam', 'keluarga', 'such', 'gp', 'presiden']",bangga milik pimpin mas ganjar pranowo tidak hanya kualitas bidang politik keluarga such gp presiden
"['sukses', 'untuk', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'moga', 'jakarta', 'dapat', 'nikmat', 'bijak', 'yang', 'profesional', 'rakyat', 'kelfin', 'gp', 'presiden']",sukses mas ganjar mahfud moga jakarta nikmat bijak profesional rakyat kelfin gp presiden
"['sama', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'hidup', 'yang', 'imbang', 'dan', 'kualitas', 'begundal', 'gp', 'presiden']",keluarga ganjar pranowo cermin hidup imbang kualitas begundal gp presiden
"['mahfud', 'md', 'dan', 'pak', 'ganjar', 'pranowo', 'moga', 'kerja', 'keras', 'kalian', 'bawa', 'bahagia', 'dan', 'makmur', 'untuk', 'jakarta', 'blacksweet', 'gp', 'presiden']",mahfud md ganjar pranowo moga kerja keras bawa bahagia makmur jakarta blacksweet gp presiden
"['ganjar', 'pranowo', 'adalah', 'pimpin', 'yang', 'akan', 'bawa', 'ceria', 'dan', 'hangat', 'seperti', 'dalam', 'keluarga', 'ke', 'dalam', 'hari', 'warga', 'jakarta', 'dumboyz', 'gp', 'presiden']",ganjar pranowo pimpin bawa ceria hangat keluarga warga jakarta dumboyz gp presiden
"['rstmbcl', 'semangat', 'ganjar', 'pasti', 'nang', 'di']",rstmbcl semangat ganjar nang
"['keluarga', 'yang', 'bahagia', 'adalah', 'aset', 'harga', 'dan', 'ganjar', 'pranowo', 'bukti', 'bahwa', 'itu', 'adalah', 'kunci', 'pimpin', 'yang', 'sukses', 'emmvirly', 'gp', 'presiden']",keluarga bahagia aset harga ganjar pranowo bukti kunci pimpin sukses emmvirly gp presiden
"['sosok', 'calon', 'presiden', 'yang', 'bawa', 'dekat', 'dengan', 'rakyat', 'seperti', 'yang', 'tunjuk', 'ganjar', 'pranowo', 'patut', 'apresiasi', 'upilosophy', 'gp', 'presiden']",sosok calon presiden bawa rakyat ganjar pranowo patut apresiasi upilosophy gp presiden
"['warga', 'dki', 'jakarta', 'yakin', 'bahwa', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'akan', 'bawa', 'hangat', 'pimpin', 'yang', 'perlu', 'condenseduyu', 'gp', 'presiden']",warga dki jakarta ganjar pranowo mahfud md bawa hangat pimpin condenseduyu gp presiden
"['mesra', 'keluarga', 'ganjar', 'pranowo', 'jadi', 'energi', 'positif', 'yang', 'dapat', 'gerak', 'ubah', 'positif', 'di', 'jatim', 'theyluvpatete', 'gp', 'presiden']",mesra keluarga ganjar pranowo energi positif gerak ubah positif jatim theyluvpatete gp presiden
"['bapak', 'mahfud', 'md', 'moga', 'semangat', 'keluarga', 'dapat', 'resap', 'dalam', 'tiap', 'putus', 'dan', 'bijak', 'sama', 'ganjar', 'pranowo', 'kkimijimi', 'gp', 'presiden']",mahfud md moga semangat keluarga resap putus bijak ganjar pranowo kkimijimi gp presiden
"['dukung', 'untuk', 'ganjar', 'pranowo', 'tidak_hanya', 'dari', 'segi', 'pimpin', 'tapi', 'juga', 'bagai', 'contoh', 'ayah', 'yang', 'baik', 'urfunniestboi', 'gp', 'presiden']",dukung ganjar pranowo tidak hanya segi pimpin contoh ayah urfunniestboi gp presiden
"['akrab', 'keluarga', 'mas', 'ganjar', 'pranowo', 'adalah', 'cermin', 'dari', 'pimpin', 'yang', 'inklusif', 'dan', 'peduli', 'hadap', 'seluruh', 'lapis', 'masyarakat', 'tapirepaldy', 'gp', 'presiden']",akrab keluarga mas ganjar pranowo cermin pimpin inklusif peduli hadap lapis masyarakat tapirepaldy gp presiden
"['mahfud', 'md', 'kami', 'percaya', 'alam', 'akan', 'jadi', 'aset', 'harga', 'untuk', 'indonesia', 'ganjar', 'pranowo', 'lengkap', 'dengan', 'peka', 'hadap', 'butuh', 'rakyat', 'blahajsharkyy', 'gp', 'presiden']",mahfud md percaya alam aset harga indonesia ganjar pranowo lengkap peka hadap butuh rakyat blahajsharkyy gp presiden
"['akrab', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'modal', 'sosial', 'yang', 'harga', 'untuk', 'cipta', 'hidup', 'yang', 'lebih', 'baik', 'bagi', 'rakyat', 'ryanpradityaa', 'gp', 'presiden']",akrab keluarga ganjar pranowo modal sosial harga cipta hidup rakyat ryanpradityaa gp presiden
"['pimpin', 'mas', 'ganjar', 'pranowo', 'adalah', 'bukti', 'bahwa', 'orang', 'pimpin', 'sejati', 'adalah', 'yang', 'paham', 'penting', 'sama', 'dalam', 'keluarga', 'suiczidal', 'gp', 'presiden']",pimpin mas ganjar pranowo bukti orang pimpin sejati paham keluarga suiczidal gp presiden
"['semangat', 'dan', 'dedikasi', 'ganjar', 'pranowo', 'dalam', 'layan', 'masyarakat', 'adalah', 'modal', 'besar', 'untuk', 'pimpin', 'yang', 'efektif', 'dwipuspita', 'gp', 'presiden']",semangat dedikasi ganjar pranowo layan masyarakat modal pimpin efektif dwipuspita gp presiden
"['ganjar', 'pranowo', 'adalah', 'calon', 'presiden', 'yang', 'tidak_hanya', 'pimpin', 'dengan', 'kepala', 'tapi', 'juga', 'dengan', 'hati', 'warga', 'jateng', 'sambut', 'positif', 'bijaksana', 'dan', 'ceria', 'bakwanajala', 'gp', 'presiden']",ganjar pranowo calon presiden tidak hanya pimpin kepala hati warga jateng sambut positif bijaksana ceria bakwanajala gp presiden
"['pak', 'ganjar', 'pranowo', 'jalan', 'jalan', 'pagi', 'di', 'karawang']",ganjar pranowo jalan jalan pagi karawang
"['mesra', 'keluarga', 'ganjar', 'pranowo', 'ingat', 'kita', 'akan', 'penting', 'hangat', 'dalam', 'tiap', 'bijak', 'dan', 'tindak', 'somarkeu', 'gp', 'presiden']",mesra keluarga ganjar pranowo hangat bijak tindak somarkeu gp presiden
"['ganjar', 'pranowo', 'bukti', 'bahwa', 'cinta', 'pada', 'keluarga', 'jalan', 'dengan', 'cinta', 'pada', 'tanah', 'air', 'txtfromjodi', 'gp', 'presiden']",ganjar pranowo bukti cinta keluarga jalan cinta tanah air txtfromjodi gp presiden
"['jakarta', 'akan', 'makin', 'martabat', 'dengan', 'pimpin', 'yang', 'prioritas', 'penting', 'rakyat', 'seperti', 'mas', 'ganjar', 'azrielilhmz', 'gp', 'presiden']",jakarta martabat pimpin prioritas rakyat mas ganjar azrielilhmz gp presiden
"['akrab', 'keluarga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'jadi', 'pilar', 'kuat', 'untuk', 'pimpin', 'dengan', 'empati', 'dan', 'bijaksana', 'awkrong', 'gp', 'presiden']",akrab keluarga ganjar pranowo mahfud md pilar kuat pimpin empati bijaksana awkrong gp presiden
"['dewasa', 'dan', 'bijaksana', 'mas', 'ganjar', 'pranowo', 'dalam', 'pimpin', 'keluarga', 'adalah', 'cermin', 'dari', 'pimpin', 'di', 'kancah', 'politik', 'sandysembarang', 'gp', 'presiden']",dewasa bijaksana mas ganjar pranowo pimpin keluarga cermin pimpin kancah politik sandysembarang gp presiden
"['lihat', 'akrab', 'keluarga', 'mas', 'ganjar', 'pranowo', 'buat', 'saya', 'yakin', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'tidak_hanya', 'karakter', 'kuat', 'tapi', 'juga', 'penuh', 'kasih', 'sayang', 'sbnftrn', 'gp', 'presiden']",lihat akrab keluarga mas ganjar pranowo beliau pimpin tidak hanya karakter kuat penuh kasih sayang sbnftrn gp presiden
"['dewasa', 'mas', 'ganjar', 'dalam', 'bangun', 'harmoni', 'keluarga', 'adalah', 'aset', 'harga', 'yang', 'ingin', 'oleh', 'seluruh', 'warga', 'jatim', 'sukses', 'untuk', 'beliau', 'di', 'kancah', 'nasional', 'tokopidea', 'gp', 'presiden']",dewasa mas ganjar bangun harmoni keluarga aset harga warga jatim sukses beliau kancah nasional tokopidea gp presiden
"['hangat', 'keluarga', 'ganjar', 'pranowo', 'adalah', 'investasi', 'jangka', 'panjang', 'untuk', 'cipta', 'generasi', 'yang', 'lebih', 'baik', 'rysuf', 'gp', 'presiden']",hangat keluarga ganjar pranowo investasi jangka cipta generasi rysuf gp presiden
"['akrab', 'pak', 'ganjar', 'dengan', 'keluarga', 'adalah', 'cermin', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'dekat', 'dengan', 'rakyat', 'jakarta', 'pasti', 'akan', 'rasa', 'hangat', 'ini', 'berihyun', 'gp', 'presiden']",akrab ganjar keluarga cermin beliau pimpin rakyat jakarta hangat berihyun gp presiden
"['ganjar', 'pranowo', 'tunjuk', 'bahwa', 'pimpin', 'yang', 'kuat', 'mulai', 'dari', 'fondasi', 'keluarga', 'yang', 'solid', 'dan', 'hangat', 'tuzoaeiry', 'gp', 'presiden']",ganjar pranowo pimpin kuat fondasi keluarga solid hangat tuzoaeiry gp presiden
"['moga', 'dukung', 'warga', 'jatim', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'makin', 'dukung', 'ingat', 'komitmen', 'mereka', 'hadap', 'bangun', 'daerah', 'scarlet', 'gp', 'presiden']",moga dukung warga jatim mas ganjar pranowo mahfud md dukung komitmen hadap bangun daerah scarlet gp presiden
"['ganjar', 'pranowo', 'lihat', 'bahwa', 'pimpin', 'yang', 'arah', 'mulai', 'dari', 'kerjasama', 'harmonis', 'dalam', 'lingkung', 'keluarga', 'abcdefghijshhd', 'gp', 'presiden']",ganjar pranowo lihat pimpin arah kerjasama harmonis lingkung keluarga abcdefghijshhd gp presiden
"['ganjar', 'pranowo', 'dengan', 'pihak', 'pada', 'kembang', 'ekonomi', 'daerah', 'akan', 'bawa', 'lanjut', 'bangun', 'ke', 'tingkat', 'nasional', 'dayat', 'gp', 'presiden']",ganjar pranowo kembang ekonomi daerah bawa bangun tingkat nasional dayat gp presiden
"['semangat', 'layan', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'dalam', 'maju', 'jatim', 'dan', 'indonesia', 'patut', 'acung', 'jempol', 'mereka', 'bukti', 'bahwa', 'hasil', 'buah', 'negara', 'mulai', 'dari', 'pimpin', 'yang', 'integritas', 'dan', 'tulus', 'taemoonwo', 'gp', 'presiden']",semangat layan mas ganjar mahfud maju jatim indonesia patut acung jempol bukti hasil buah negara pimpin integritas tulus taemoonwo gp presiden
"['dukung', 'warga', 'jakarta', 'untuk', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'makin', 'kuat', 'telah', 'lihat', 'sama', 'mereka', 'dalam', 'video', 'sebut', 'comeback', 'lagi', 'gp', 'presiden']",dukung warga jakarta ganjar pranowo mahfud md kuat lihat video comeback gp presiden
"['akrab', 'mas', 'ganjar', 'dengan', 'anak', 'anak', 'beri', 'optimisme', 'bahwa', 'masa', 'depan', 'indonesia', 'akan', 'pimpin', 'oleh', 'generasi', 'yang', 'baik', 'swiftieanjing', 'gp', 'presiden']",akrab mas ganjar anak anak optimisme indonesia pimpin generasi swiftieanjing gp presiden
"['mesra', 'ganjar', 'pranowo', 'dengan', 'keluarga', 'ingat', 'kita', 'bahwa', 'orang', 'pimpin', 'sejati', 'harus', 'bisa', 'ayom', 'masyarakat', 'danawalpanitia', 'gp', 'presiden']",mesra ganjar pranowo keluarga orang pimpin sejati ayom masyarakat danawalpanitia gp presiden
"['dukung', 'saya', 'penuh', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'harap', 'hangat', 'keluarga', 'jadi', 'pondasi', 'pimpin', 'mereka', 'juztmingyu', 'gp', 'presiden']",dukung penuh mas ganjar pranowo mahfud md harap hangat keluarga pondasi pimpin juztmingyu gp presiden
"['moga', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'dapat', 'bawa', 'nilai', 'nilai', 'keluarga', 'ke', 'dalam', 'tiap', 'bijak', 'dan', 'tindak', 'mereka', 'sendyakutuh', 'gp', 'presiden']",moga mas ganjar pranowo mahfud md bawa nilai nilai keluarga bijak tindak sendyakutuh gp presiden
"['lihat', 'mesra', 'keluarga', 'mas', 'ganjar', 'pranowo', 'buat', 'saya', 'yakin', 'bahwa', 'peduli', 'hadap', 'keluarga', 'juga', 'akan', 'cermin', 'dalam', 'pimpin', 'seblakenakges', 'gp', 'presiden']",lihat mesra keluarga mas ganjar pranowo peduli hadap keluarga cermin pimpin seblakenakges gp presiden
"['video', 'tentang', 'mesra', 'keluarga', 'mas', 'ganjar', 'pranowo', 'ajar', 'kita', 'bahwa', 'orang', 'pimpin', 'sejati', 'harus', 'bisa', 'jadi', 'panutan', 'dalam', 'segala', 'aspek', 'hidup', 'viemstora', 'gp', 'presiden']",video mesra keluarga mas ganjar pranowo ajar orang pimpin sejati panutan aspek hidup viemstora gp presiden
"['mesra', 'pak', 'ganjar', 'dengan', 'keluarga', 'adalah', 'cermin', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'milik', 'hati', 'nurani', 'jakarta', 'pasti', 'akan', 'rasa', 'baik', 'hati', 'ini', 'berkah', 'yah', 'gp', 'presiden']",mesra ganjar keluarga cermin beliau pimpin milik hati nurani jakarta hati berkah yah gp presiden
"['moga', 'bijak', 'bijak', 'mas', 'ganjar', 'pranowo', 'dapat', 'angkat', 'sejahtera', 'rakyat', 'jatim', 'dukung', 'penuh', 'untuk', 'juang', 'beliau', 'trahsly', 'gp', 'presiden']",moga bijak bijak mas ganjar pranowo angkat sejahtera rakyat jatim dukung penuh juang beliau trahsly gp presiden
"['mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'duo', 'hebat', 'yang', 'akan', 'bawa', 'jatim', 'ke', 'puncak', 'jaya', 'homongapakensis', 'gp', 'presiden']",mas ganjar pranowo mahfud md duo hebat bawa jatim puncak jaya homongapakensis gp presiden
