formalization,stopword_removal
"['esawela', 'semangat', 'besar', 'pancar', 'dari', 'program', 'prioritas', 'prabowo', 'gibran', 'untuk', 'negeri', 'cinta', 'program', 'prioritaspragibs']",esawela semangat pancar program prioritas prabowo gibran negeri cinta program prioritaspragibs
"['pak', 'prabowo', 'kata', 'partaisocmed', 'emang', 'jumat', 'mana']",prabowo partaisocmed emang jumat
"['partaisocmed', 'aniesbaswedan', 'prabowo', 'rem', 'banget', 'iya', 'efek', 'asam', 'sulfat']",partaisocmed aniesbaswedan prabowo rem banget iya efek asam sulfat
"['ahy', 'akan', 'juang', 'menang', 'prabowo', 'siapa', 'pun', 'cawapresnya', 'gwi', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy juang menang prabowo cawapresnya gwi agusyudhoyono pdemokrat demokrat bareng ahy
"['ahy', 'kami', 'siap', 'menang', 'prabowo', 'demokrat', 'bangkit', 'di', 'me', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy menang prabowo demokrat bangkit me pdemokrat agusyudhoyono demokrat bareng ahy
"['isu', 'goreng', 'tahun', 'sekali', 'yang', 'selalu', 'keluar', 'jelang', 'milu', 'tentu', 'saja', 'kalau', 'tidak_buat', 'nyerempet', 'pak', 'prabowo', 'buat', 'apalagi', 'jadi', 'jelas', 'iya', 'tanya', 'ganjar', 'hanya', 'ingin', 'diskredit', 'prabowo']",isu goreng jelang milu tidak buat nyerempet prabowo iya ganjar diskredit prabowo
"['wkwkwkwkwkwk', 'kubu', 'jokowi', 'cs', 'nya', 'ahok', 'kubu', 'prabowo', 'cs', 'nya', 'jokowi', 'jokowi', 'dan', 'prabowo', 'cs', 'nya', 'habib', 'rizieq', 'anies', 'pun', 'cs', 'nya', 'habib', 'rizieq', 'dan', 'ahokers', 'saat', 'ini', 'panas', 'lihat', 'habib', 'rizieq', 'dukung', 'anies', 'junjung', 'kamu', 'saja', 'cs', 'nya', 'habib', 'rizieq']",wkwkwkwkwkwk kubu jokowi cs nya ahok kubu prabowo cs nya jokowi jokowi prabowo cs nya habib rizieq anies cs nya habib rizieq ahokers panas lihat habib rizieq dukung anies junjung cs nya habib rizieq
"['sikap', 'tegas', 'prabowo', 'bawa', 'unggul', 'di', 'jawa', 'barat', 'omn', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",sikap prabowo bawa unggul jawa barat omn pdemokrat agusyudhoyono demokrat bareng ahy
"['ekowboy', 'pas', 'tepat', 'pak', 'prabowo', 'satu', 'paket', 'dg', 'jokowi', 'prrsiden', 'bangga', 'rakyat', 'indonesia']",ekowboy pas prabowo paket jokowi prrsiden bangga rakyat indonesia
"['ahy', 'yakin', 'prabowo', 'pimpin', 'yang', 'prioritas', 'penting', 'bangsa', 'zxs', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy prabowo pimpin prioritas bangsa zxs agusyudhoyono pdemokrat demokrat bareng ahy
"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'indonesia', 'bisa', 'tuju', 'indonesia', 'emas', 'sama', 'prabowo', 'gibran']",gibran gen gibran tweet prabowo indonesia tuju indonesia emas prabowo gibran
"['partaisocmed', 'prabowo', 'sila', 'berkilah', 'untuk', 'sedap', 'hati', 'gerombol', 'bebek']",partaisocmed prabowo sila berkilah sedap hati gerombol bebek
"['partai', 'demokrat', 'prabowo', 'sama', 'presiden', 'ke', 'dan', 'ke', 'bisa', 'jadi', 'presiden', 'ke', 'ker', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",partai demokrat prabowo presiden presiden ker pdemokrat agusyudhoyono demokrat bareng ahy
"['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'isu bohong', 'sesegera mungkin', 'disingapura', 'iya', 'sesegera mungkin', 'ktp', 'orchad', 'road']",onang kea meipri partaisocmed partono adjem prabowo achb isu bohong sesegera mungkin disingapura iya sesegera mungkin ktp orchad road
