tokenizing,stemming
"['cawapres', 'kim', 'wewenang', 'mutlak', 'capres', 'ahy', 'demokrat', 'usulkan', 'khofifah', 'cawapres', 'prabowo', 'wn', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",cawapres kim wewenang mutlak capres ahy demokrat usul khofifah cawapres prabowo wn pdemokrat agusyudhoyono demokrat bareng ahy
"['esawela', 'semangat', 'besar', 'terpancar', 'dari', 'program', 'prioritas', 'prabowo', 'gibran', 'untuk', 'negeri', 'tercinta', 'program', 'prioritaspragibs']",esawela semangat besar pancar dari program prioritas prabowo gibran untuk negeri cinta program prioritaspragibs
"['pak', 'prabowo', 'kata', 'partaisocmed', 'emang', 'jumatan', 'dimana']",pak prabowo kata partaisocmed emang jumat mana
"['partaisocmed', 'aniesbaswedan', 'prabowo', 'serem', 'banget', 'ya', 'efek', 'asam', 'sulfat']",partaisocmed aniesbaswedan prabowo rem banget ya efek asam sulfat
"['ahy', 'akan', 'berjuang', 'menangkan', 'prabowo', 'siapa', 'pun', 'cawapresnya', 'gwi', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy akan juang menang prabowo siapa pun cawapresnya gwi agusyudhoyono pdemokrat demokrat bareng ahy
"['ahy', 'kami', 'siap', 'menangkan', 'prabowo', 'demokrat', 'bangkit', 'di', '^me', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy kami siap menang prabowo demokrat bangkit di me pdemokrat agusyudhoyono demokrat bareng ahy
"['isu', 'gorengan', 'tahunan', 'sekali', 'yang', 'selalu', 'keluar', 'jelang', 'pemilu', 'tentu', 'saja', 'kalau', 'bukan', 'buat', 'nyerempet', 'pak', 'prabowo', 'buat', 'apalagi', 'jadi', 'jelas', 'ya', 'pertanyaan', 'ganjar', 'hanya', 'ingin', 'mendiskreditkan', 'prabowo']",isu goreng tahun sekali yang selalu keluar jelang milu tentu saja kalau bukan buat nyerempet pak prabowo buat apalagi jadi jelas ya tanya ganjar hanya ingin diskredit prabowo
"['wkwkwkwkwkwk', 'kubu', 'jokowi', 'cs', 'nya', 'ahok', 'kubu', 'prabowo', 'cs', 'nya', 'jokowi', 'jokowi', 'dan', 'prabowo', 'cs', 'nya', 'habib', 'rizieq', 'anies', 'pun', 'cs', 'nya', 'habib', 'rizieq', 'dan', 'ahokers', 'saat', 'ini', 'panas', 'liat', 'habib', 'rizieq', 'dukung', 'anies', 'junjungan', 'lo', 'aja', 'cs', 'nya', 'habib', 'rizieq']",wkwkwkwkwkwk kubu jokowi cs nya ahok kubu prabowo cs nya jokowi jokowi dan prabowo cs nya habib rizieq anies pun cs nya habib rizieq dan ahokers saat ini panas liat habib rizieq dukung anies junjung lo aja cs nya habib rizieq
"['sikap', 'tegas', 'prabowo', 'bawa', 'keunggulan', 'di', 'jawa', 'barat', 'omn', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",sikap tegas prabowo bawa unggul di jawa barat omn pdemokrat agusyudhoyono demokrat bareng ahy
"['ekowboy', 'pas', 'tepat', 'pak', 'prabowo', 'satu', 'paket', 'dg', 'jokowi', 'prrsiden', 'kebanggaan', 'rakyat', 'indonesia']",ekowboy pas tepat pak prabowo satu paket dg jokowi prrsiden bangga rakyat indonesia
"['ahy', 'yakin', 'prabowo', 'pemimpin', 'yang', 'prioritaskan', 'kepentingan', 'bangsa', 'zxs', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy yakin prabowo pimpin yang prioritas penting bangsa zxs agusyudhoyono pdemokrat demokrat bareng ahy
"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'indonesia', 'bisa', 'menuju', 'indonesia', 'emas', 'bersama', 'prabowo', 'gibran']",gibran gen gibran tweet prabowo indonesia bisa tuju indonesia emas sama prabowo gibran
"['partaisocmed', 'prabowo', 'silakan', 'ngeles', 'untuk', 'menyedapkan', 'hati', 'gerombolan', 'bebek']",partaisocmed prabowo sila ngeles untuk sedap hati gerombol bebek
"['partai', 'demokrat', 'prabowo', 'bersama', 'presiden', 'ke', 'dan', 'ke', 'bisa', 'jadi', 'presiden', 'ke', 'ker', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",partai demokrat prabowo sama presiden ke dan ke bisa jadi presiden ke ker pdemokrat agusyudhoyono demokrat bareng ahy
"['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'hoax', 'asap', 'disingapura', 'ya', 'asap', 'ktp', 'orchad', 'road']",onang kea meipri partaisocmed partono adjem prabowo achb itu hoax asap disingapura ya asap ktp orchad road
"['prabowo', 'diakui', 'sosok', 'pemimpin', 'berdaulat', 'untuk', 'indonesia', 'owt', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",prabowo aku sosok pimpin daulat untuk indonesia owt pdemokrat agusyudhoyono demokrat bareng ahy
"['prabowo', 'ganjar', 'anis', 'hanya', 'prediksi']",prabowo ganjar anis hanya prediksi
"['partaisocmed', 'prabowo', 'karena', 'tidak', 'tahan', 'goda', 'akhirnya', 'turun', 'kasta', 'juga', 'dirimu']",partaisocmed prabowo karena tidak tahan goda akhir turun kasta juga diri
"['omank', 'fyibrow', 'indievdumerdeka', 'pak', 'bisa', 'ga', 'fokusnya', 'ga', 'cuma', 'di', 'food', 'estate', 'aja', 'banyak', 'kinerja', 'prabowo', 'yg', 'bagus', 'ga', 'pernah', 'di', 'liat', 'saya', 'kasih', 'faktanya', 'deh', 'biar', 'ga', 'cuma', 'menyalahkan', 'program', 'aja', 'peneliti', 'prestasi', 'jadi', 'menhan', 'prabowo', 'paling', 'kompeten', 'pimpin', 'ri', 'news']",omank fyibrow indievdumerdeka pak bisa ga fokus ga cuma di food estate aja banyak kerja prabowo yg bagus ga pernah di liat saya kasih fakta deh biar ga cuma salah program aja teliti prestasi jadi menhan prabowo paling kompeten pimpin ri news
"['baca', 'berita', 'detik', 'ini', 'aku', 'jd', 'ketawa', 'klau', 'pihak', 'yg', 'ada', 'backingannya', 'pak', 'lurah', 'bisa', 'ngeyel', '&', 'amp', 'nyalahin', 'panitia', 'pemilu', 'alias', 'kpu', 'dan', 'kpu', 'nya', 'diam', 'sj', 'malah', 'ngikutin', 'mereka', 'wakil', 'ketua', 'tim', 'kampanye', 'nasional', 'tkn', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'raka', 'habiburokhman', 'membela']",baca berita detik ini aku jd ketawa klau pihak yg ada backingannya pak lurah bisa ngeyel  amp nyalahin panitia milu alias kpu dan kpu nya diam sj malah ngikutin mereka wakil ketua tim kampanye nasional tkn prabowo subianto gibran rakabuming raka habiburokhman bela
"['kompastv', 'lah', 'yg', 'bilang', 'pa', 'prabowo', 'sendiri', 'kan', 'bang', 'anies', 'cuma', 'niru', 'bli', 'ko']",kompastv lah yg bilang pa prabowo sendiri kan bang anies cuma niru bli ko
"['abah', 'itu', 'karna', 'pak', 'anies', 'ada', 'modal', 'jualnya', 'plak', 'masa', 'gini', 'aja', 'gak', 'paham', 'ingat', 'pak', 'anies', 'bukan', 'orang', 'partai', 'plak', 'jadi', 'ya', 'kenapa', 'prabowo', 'memanggil', 'mengajak', 'pak', 'anies', 'kan', 'pks', 'yg', 'bawa', 'terus', 'pak', 'prabowo', 'nyodorin', 'unno', 'kan', 'buktinya', 'menang', 'di', 'pilgub', 'dki', 'masa', 'gini', 'aja', 'gak', 'ngerti']",abah itu karna pak anies ada modal jual plak masa gin aja gak paham ingat pak anies bukan orang partai plak jadi ya kenapa prabowo panggil ajak pak anies kan pks yg bawa terus pak prabowo nyodorin unno kan bukti menang di pilgub dki masa gin aja gak ngerti
"['mhermawanb', 'partaisocmed', 'aniesbaswedan', 'prabowo', 'kemana', 'aja', 'bang', 'wkwkwk']",mhermawanb partaisocmed aniesbaswedan prabowo mana aja bang wkwkwk
"['usai', 'gabung', 'kim', 'elektabilitas', 'demokrat', 'dan', 'prabowo', 'kian', 'meningkat', ']', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",usai gabung kim elektabilitas demokrat dan prabowo kian tingkat  pdemokrat agusyudhoyono demokrat bareng ahy
"['keluarga', 'mk', 'bismilah', 'saja', 'yok', 'masdar', 'bahwa', 'indonesia', 'bisa', 'di', 'pimpin', 'oleh', 'prabowo', 'gibran', 'ya', 'gas', 'selalu', 'yok', 'bisa', 'yokk']",keluarga mk bismilah saja yok masdar bahwa indonesia bisa di pimpin oleh prabowo gibran ya gas selalu yok bisa yokk
"['prabowo', 'main', 'isu', 'pki', 'lebih', 'dari', 'sekedar', 'politik', 'identitas', 'masalahnya', 'org', 'indonesia', 'msh', 'byk', 'yg', 'berasumsi', 'komunis', 'adalah', 'konsep', 'teologi', 'bukan', 'ideologi', 'mudaratnya', 'lagi', 'selain', 'membuka', 'lembaran', 'luka', 'sejarah', 'juga', 'para', 'pendukung', 'yg', 'bertikai', 'saling', 'umbar', 'aib', 'bapak', 'bangsa']",prabowo main isu pki lebih dari dar politik identitas masalah org indonesia msh byk yg asumsi komunis adalah konsep teologi bukan ideologi mudarat lagi selain buka lembar luka sejarah juga para dukung yg tika saling umbar aib bapak bangsa
"['yanua', 'eko', 'oke', 'haekalrast', 'hariqosatria', 'dahnilanzar', 'saya', 'bicara', 'prabowo', 'sebagai', 'ketum', 'partai', 'tokoh', 'dan', 'capres', 'bicara', 'partai', 'berarti', 'tentang', 'politik', 'seluruh', 'parpol', 'muaranya', 'adalah', 'kekuasaan', 'dan', 'tentu', 'prabowo', 'gabung', 'pemerintah', 'adalah', 'strategi', 'gerindra', 'skala', 'nasional', 'dan', 'internasional']",yanua eko oke haekalrast hariqosatria dahnilanzar saya bicara prabowo bagai tum partai tokoh dan capres bicara partai arti tentang politik seluruh parpol muara adalah kuasa dan tentu prabowo gabung perintah adalah strategi gerindra skala nasional dan internasional
"['micheladam', 'dhemith', 'pak', 'prabowo', 'menjulurkan', 'lidahnya', 'itu', 'bukan', 'editan', 'gemoygebrakan', 'monyet']",micheladam dhemith pak prabowo julur lidah itu bukan edit gemoygebrakan monyet
"['yulianidiya', 'prabowo', 'gibran', 'bukan', 'cuma', 'pasangan', 'tapi', 'solusi', 'buat', 'pemilih', 'bimbang', 'dekade']",yulianidiya prabowo gibran bukan cuma pasang tapi solusi buat pilih bimbang dekade
"['dennyindrayana', 'cemberut', 'pak', 'sby', 'kyk', 'males', 'kmrn', 'wktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'keliatan', 'sumringah', 'dan', 'bersemangat', 'bgt', 'awokkwokkwokk']",dennyindrayana cemberut pak sby kyk males kmrn wktu bareng sama pak prabowo di gunung tidar liat sumringah dan semangat bgt awokkwokkwokk
"['ahy', 'instruksikan', 'ke', 'seluruh', 'kader', 'demokrat', 'menangkan', 'prabowo', 'di', 'pilpres', 'joy', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy instruksi ke seluruh kader demokrat menang prabowo di pilpres joy agusyudhoyono pdemokrat demokrat bareng ahy
"['goaticid', 'partaisocmed', 'prabowo', 'panggilannya', 'memed', 'sekarang']",goaticid partaisocmed prabowo panggil memed sekarang
"['digifeeder', 'prabowo', 'gibran', 'tweet', 'gerindra', 'alextham', 'bengkeldodo', 'bentangnegeri', 'xquitavee', 'iamlogan', 'rojeoz', 'raden', 'wijaya', 'sosok', 'capres', 'gemoy', 'yang', 'memberikan', 'riang', 'gembira', 'kepada', 'masyarakat']",digifeeder prabowo gibran tweet gerindra alextham bengkeldodo bentangnegeri xquitavee iamlogan rojeoz raden wijaya sosok capres gemoy yang beri riang gembira kepada masyarakat
"['duh', 'hobi', 'ko', 'julurin', 'lidah', 'si', 'pak', 'kalau', 'calon', 'pemimpin', 'itu', 'hobi', 'julurin', 'tangan', 'bantu', 'anak', 'bangsa', 'gacoan', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilihan', 'terbaik', 'kela', 'prabowo']",duh hobi ko julurin lidah si pak kalau calon pimpin itu hobi julurin tangan bantu anak bangsa gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih baik kela prabowo
"['chaves', 'prabowo', 'gak', 'usah', 'ikutan', 'debat', 'lah', 'ikutan', 'cerdas', 'cermat', 'aja']",chaves prabowo gak usah ikut debat lah ikut cerdas cermat aja
"['ahy', 'minta', 'kader', 'panaskan', 'mesin', 'partai', 'menangkan', 'prabowo', 'pada', 'pilpres', 'odd', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy minta kader panas mesin partai menang prabowo pada pilpres odd pdemokrat agusyudhoyono demokrat bareng ahy
"['kalau', 'ini', 'mah', 'bukan', 'bagi', 'bagi', 'bansos', 'namanya', 'pak', 'tapi', 'kampanye', 'disponsori', 'negera', 'gacoan', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilihan', 'terbaik', 'kela', 'prabowo']",kalau ini mah bukan bagi bagi bansos nama pak tapi kampanye sponsor negera gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih baik kela prabowo
"['tvonenews', 'heuheu', 'nyerang', 'prabowo', 'pake', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'pemerintahan', 'oposisi', 'ndasmu', 'broo']",tvonenews heuheu nyerang prabowo pake kata oposisi tapi partai di koalisi masih di perintah oposisi ndasmu broo
"['ahy', 'instruksikan', 'kader', 'demokrat', 'menangkan', 'prabowo', 'di', 'pilpres', '`', 'ij', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy instruksi kader demokrat menang prabowo di pilpres  ij pdemokrat agusyudhoyono demokrat bareng ahy
"['andre', 'rosiade', 'emang', 'capres', 'goblok', 'prabowo', 'ini', 'tinggal', 'jawab', 'aja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'menolak', 'lupa']",andre rosiade emang capres goblok prabowo ini tinggal jawab aja dia mau nyelesaikan apa engga bintangaryagun tolak lupa
"['ahy', 'instruksikan', 'kader', 'demokrat', 'rapatkan', 'barisan', 'menangkan', 'prabowo', 'rel', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy instruksi kader demokrat rapat baris menang prabowo rel agusyudhoyono pdemokrat demokrat bareng ahy
"['dlm', 'debat', 'anies', 'ganjar', 'spt', 'kompak', 'serang', 'prabowo', 'ttg', 'pelanggaran', 'ham', 'bisnis', 'macet', 'ga', 'ikut', 'kekuasaan', 'knp', 'prabowo', 'ga', 'balik', 'nanya', 'kasus', 'ktp', 'ke', 'ganjar', 'ato', 'formula', 'warga', 'dki', 'meninggal', 'tp', 'trlantar', 'ke', 'anies', 'jubir', 'bala', 'lbh', 'sibuk', 'counter', 'serangan', 'lawan', 'settingan', 'gasi']",dlm debat anies ganjar spt kompak serang prabowo ttg langgar ham bisnis macet ga ikut kuasa knp prabowo ga balik nanya kasus ktp ke ganjar ato formula warga dki tinggal tp trlantar ke anies jubir bala lbh sibuk counter serang lawan settingan gas
"['ahy', 'ajak', 'seluruh', 'kader', 'partai', 'demokrat', 'menangkan', 'prabowo', 'di', 'pilpres', 'upj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy ajak seluruh kader partai demokrat menang prabowo di pilpres upj pdemokrat agusyudhoyono demokrat bareng ahy
"['bansos', 'itu', 'merupakan', 'bagian', 'dari', 'peran', 'negara', 'untuk', 'hadir', 'kepada', 'masyarakat', 'miskin', 'bukan', 'sebagai', 'ajang', 'bancakan', 'sosial', 'untuk', 'kampanye', 'gacoan', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilihan', 'terbaik', 'kela', 'prabowo']",bansos itu rupa bagi dari peran negara untuk hadir kepada masyarakat miskin bukan bagai ajang bancak sosial untuk kampanye gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih baik kela prabowo
"['persatuan', 'antara', 'prabowo', 'dan', 'jokowi', 'pada', 'tahun', 'membuat', 'indonesia', 'bisa', 'melewati', 'berbagai', 'krisis', 'dalam', 'beberapa', 'tahun', 'terakhir', 'dekade']",satu antara prabowo dan jokowi pada tahun buat indonesia bisa lewat bagai krisis dalam beberapa tahun akhir dekade
"['tjel', 'up', 'prabowo', 'netizen', 'kepo', 'bukan', 'krn', 'siapa', 'yg', 'paling', 'banyak', 'hartanya', 'tapi', 'cangkem', 'dia', 'prabowo', 'yg', 'blunder', 'di', 'panggung', 'debat', 'saya', 'gak', 'punya', 'apa', 'apa', 'padahal', 'dg', 'tersebut', 'apa', 'apa', 'saja', 'punya']",tjel up prabowo netizen kepo bukan krn siapa yg paling banyak harta tapi cangkem dia prabowo yg blunder di panggung debat saya gak punya apa apa padahal dg sebut apa apa saja punya
"['pakai', 'strategi', 'serangan', 'darat', 'dan', 'udara', 'demokrat', 'jakarta', 'kerja', 'keras', 'menangkan', 'prabowo', '`', '`', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",pakai strategi serang darat dan udara demokrat jakarta kerja keras menang prabowo   agusyudhoyono pdemokrat demokrat bareng ahy
"['chaves', 'aniesbaswedan', 'fahrihamzah', 'gerindra', 'datuakrajoangek', 'wakwawaww', 'mohon', 'maaf', 'numpang', 'tanya', 'kali', 'ini', 'pak', 'prabowo', 'itu', 'mau', 'nyalonin', 'jadi', 'presiden', 'apa', 'mau', 'nyalonin', 'jadi', 'mentri', 'pak', 'kasihan', 'bapak', 'nanti', 'udah', 'capek', 'maki', 'orang', 'fitnah', 'orang', 'gak', 'taunya', 'yg', 'di', 'bela', 'sebenernya', 'cuma', 'mau', 'jadi', 'mentri']",chaves aniesbaswedan fahrihamzah gerindra datuakrajoangek wakwawaww mohon maaf numpang tanya kali ini pak prabowo itu mau nyalonin jadi presiden apa mau nyalonin jadi tri pak kasihan bapak nanti udah capek maki orang fitnah orang gak tau yg di bela sebenernya cuma mau jadi tri
"['kangsemproel', 'vivacoid', 'lambe', 'turah', 'di', 'mintain', 'pendapat', 'aja', 'dah', 'aneh', 'apalagi', 'doi', 'sebarisan', 'ama', 'si', 'ituh']",kangsemproel vivacoid lambe turah di mintain dapat aja dah aneh apalagi doi baris ama si ituh
